Peak #,Ret. Time,Letter,Type,Width,Area,Start Time,End Time,Sample Number,Treatment,File Name,Leaf Area,Compound Name,Tetralin Corrected,Leaf Area Corrected,Plant Volume,Water Status,Average 48 Hour Temp,Max 48 Hour Temp,Average 48 Hour Humidity,,Site,Date
14,18.5,,rVB,0.097,1526262,18.475,18.572,46,High,TIC: 121910.D,39.6,,0.26031034,0.006573493,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
15,18.7,,rBV,0.12,2091879,18.658,18.778,46,High,TIC: 121910.D,39.6,,0.356778675,0.009009563,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
16,19.72,,rBV,0.074,370354,19.688,19.763,46,High,TIC: 121910.D,39.6,,0.063165417,0.001595086,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
17,19.93,,rBV,0.092,406841,19.889,19.98,46,High,TIC: 121910.D,39.6,,0.069388427,0.001752233,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
18,20.37,,rBV,0.069,231033,20.346,20.415,46,High,TIC: 121910.D,39.6,,0.03940364,0.000995041,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
19,20.5,,rBV,0.137,299122,20.444,20.581,46,High,TIC: 121910.D,39.6,,0.051016503,0.001288296,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
20,21.74,,rBV,0.092,266557,21.708,21.8,46,High,TIC: 121910.D,39.6,,0.045462406,0.001148041,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
21,21.94,,rBV,0.08,232951,21.914,21.994,46,High,TIC: 121910.D,39.6,,0.039730763,0.001003302,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
1,14.775,,BV  ,0.041,58492394,14.7,14.895,44,Control,TIC: 0212201404.D,33.75,,2.00828696,0.059504799,8580,20.5,78.95,101.39,,,StatelineRoad1,7/21/12
2,14.971,,VB  ,0.041,60585789,14.895,15.096,44,Control,TIC: 0212201404.D,33.75,,2.08016191,0.061634427,8580,20.5,78.95,101.39,,,StatelineRoad1,7/21/12
3,17.728,,PB  ,0.024,29125516,17.683,17.808,44,Control,TIC: 0212201404.D,33.75,Tetralin,1,0.02962963,8580,20.5,78.95,101.39,,,StatelineRoad1,7/21/12
4,18.809,,BV  ,0.02,3295988,18.742,18.863,44,Control,TIC: 0212201404.D,33.75,,0.113164965,0.003353036,8580,20.5,78.95,101.39,,,StatelineRoad1,7/21/12
5,18.903,,VV  ,0.021,5167244,18.863,18.952,44,Control,TIC: 0212201404.D,33.75,,0.17741296,0.00525668,8580,20.5,78.95,101.39,,,StatelineRoad1,7/21/12
6,18.998,,VV  ,0.02,10600016,18.952,19.1,44,Control,TIC: 0212201404.D,33.75,,0.363942599,0.010783484,8580,20.5,78.95,101.39,,,StatelineRoad1,7/21/12
7,19.187,,VB  ,0.02,14413920,19.1,19.29,44,Control,TIC: 0212201404.D,33.75,,0.494889773,0.014663401,8580,20.5,78.95,101.39,,,StatelineRoad1,7/21/12
1,14.784,,BV  ,0.05,125720027,14.681,14.886,47,High,TIC: 0214201411.D,11.89,,1.987131022,0.167126242,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
2,14.987,,VV  ,0.049,131814077,14.886,15.115,47,High,TIC: 0214201411.D,11.89,,2.083453589,0.175227383,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
3,15.989,,BB  ,0.047,6561426,15.916,16.106,47,High,TIC: 0214201411.D,11.89,,0.103709914,0.008722449,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
4,16.59,,BB  ,0.031,2610125,16.549,16.664,47,High,TIC: 0214201411.D,11.89,,0.041255641,0.003469776,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
5,16.862,,VB  ,0.03,2008898,16.829,16.931,47,High,TIC: 0214201411.D,11.89,,0.031752646,0.002670534,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
6,17.302,,BB  ,0.025,1390726,17.264,17.36,47,High,TIC: 0214201411.D,11.89,,0.021981818,0.001848765,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
7,17.651,,BV  ,0.022,1282980,17.617,17.681,47,High,TIC: 0214201411.D,11.89,,0.020278785,0.001705533,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
8,17.728,,VV  ,0.027,63267105,17.681,17.808,47,High,TIC: 0214201411.D,11.89,Tetralin,1,0.084104289,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
9,17.979,,BV  ,0.022,1856209,17.918,18.007,47,High,TIC: 0214201411.D,11.89,,0.029339244,0.002467556,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
10,18.063,,VB  ,0.025,2368103,18.039,18.103,47,High,TIC: 0214201411.D,11.89,,0.037430241,0.003148044,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
11,18.33,,PV  ,0.02,1454589,18.299,18.37,47,High,TIC: 0214201411.D,11.89,,0.022991237,0.001933662,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
12,18.807,,PV  ,0.02,9626419,18.733,18.861,47,High,TIC: 0214201411.D,11.89,,0.1521552,0.012796905,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
13,18.902,,VV  ,0.021,13889659,18.861,18.953,47,High,TIC: 0214201411.D,11.89,,0.219539981,0.018464254,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
14,18.997,,VV  ,0.021,25028105,18.953,19.095,47,High,TIC: 0214201411.D,11.89,,0.395594282,0.033271176,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
15,19.186,,VV  ,0.02,34128759,19.15,19.276,47,High,TIC: 0214201411.D,11.89,,0.539439239,0.045369154,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
16,19.497,,VB  ,0.024,1944085,19.471,19.581,47,High,TIC: 0214201411.D,11.89,,0.030728212,0.002584374,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
17,19.716,,VV  ,0.025,1373803,19.681,19.762,47,High,TIC: 0214201411.D,11.89,,0.021714333,0.001826269,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
18,19.799,,PV  ,0.021,719603,19.762,19.819,47,High,TIC: 0214201411.D,11.89,,0.011374047,0.000956606,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
19,20.358,,PV  ,0.019,1212807,20.262,20.38,47,High,TIC: 0214201411.D,11.89,,0.01916963,0.001612248,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
20,20.469,,VV  ,0.019,1541300,20.449,20.505,47,High,TIC: 0214201411.D,11.89,,0.024361791,0.002048931,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
21,22.701,,BV  ,0.02,1045422,22.675,22.756,47,High,TIC: 0214201411.D,11.89,,0.016523942,0.001389734,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
22,25.088,,PV  ,0.025,1397823,25.062,25.147,47,High,TIC: 0214201411.D,11.89,,0.022093993,0.0018582,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
1,11.792,,BV  ,0.039,3930018,11.707,11.859,45,High,TIC: 0214201413.D,34.04,,0.0740415,0.002175132,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
2,13.149,,BV  ,0.04,3100404,13.094,13.203,45,High,TIC: 0214201413.D,34.04,,0.058411581,0.001715969,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
3,13.386,,BV  ,0.042,3130472,13.299,13.47,45,High,TIC: 0214201413.D,34.04,,0.058978062,0.001732611,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
4,13.963,,BV  ,0.04,9387758,13.89,14.034,45,High,TIC: 0214201413.D,34.04,,0.176865268,0.005195807,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
5,14.121,,PV  ,0.044,27057480,14.034,14.223,45,High,TIC: 0214201413.D,34.04,,0.509762657,0.014975401,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
6,14.292,,VV  ,0.041,12555991,14.223,14.376,45,High,TIC: 0214201413.D,34.04,,0.236554747,0.006949317,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
7,14.782,,VV  ,0.048,95927459,14.7,14.878,45,High,TIC: 0214201413.D,34.04,,1.807272383,0.053092608,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
8,14.983,,VV  ,0.051,116900058,14.878,15.052,45,High,TIC: 0214201413.D,34.04,,2.202395942,0.064700233,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
9,15.263,,PV  ,0.043,9083099,15.202,15.353,45,High,TIC: 0214201413.D,34.04,,0.171125496,0.005027188,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
10,15.673,,PV  ,0.037,2913173,15.544,15.708,45,High,TIC: 0214201413.D,34.04,,0.054884151,0.001612343,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
11,15.99,,BV  ,0.047,4680782,15.925,16.043,45,High,TIC: 0214201413.D,34.04,,0.088185887,0.002590655,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
12,16.589,,VV  ,0.037,3694830,16.515,16.659,45,High,TIC: 0214201413.D,34.04,,0.069610561,0.002044964,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
13,16.862,,PV  ,0.044,2685228,16.751,16.94,45,High,TIC: 0214201413.D,34.04,,0.050589669,0.001486183,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
14,17.651,,PV  ,0.022,1982091,17.622,17.682,45,High,TIC: 0214201413.D,34.04,,0.037342575,0.00109702,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
15,17.728,,VV  ,0.026,53078584,17.682,17.772,45,High,TIC: 0214201413.D,34.04,Tetralin,1,0.029377203,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
16,17.978,,BV  ,0.025,2070628,17.922,18.006,45,High,TIC: 0214201413.D,34.04,,0.039010611,0.001146023,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
17,18.063,,VV  ,0.027,3679347,18.006,18.099,45,High,TIC: 0214201413.D,34.04,,0.069318861,0.002036394,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
18,18.329,,VV  ,0.021,1381950,18.306,18.366,45,High,TIC: 0214201413.D,34.04,,0.026035924,0.000764863,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
19,18.783,,VV  ,0.019,4544858,18.746,18.792,45,High,TIC: 0214201413.D,34.04,,0.08562508,0.002515425,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
20,18.807,,VV  ,0.02,8768790,18.792,18.857,45,High,TIC: 0214201413.D,34.04,,0.165203917,0.004853229,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
21,18.903,,VV  ,0.023,14610499,18.857,18.957,45,High,TIC: 0214201413.D,34.04,,0.275261657,0.008086418,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
22,18.996,,VV  ,0.021,23404666,18.957,19.032,45,High,TIC: 0214201413.D,34.04,,0.440943677,0.012953692,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
23,19.05,,VV  ,0.02,1941518,19.032,19.073,45,High,TIC: 0214201413.D,34.04,,0.03657818,0.001074565,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
24,19.186,,VV  ,0.02,30838829,19.143,19.216,45,High,TIC: 0214201413.D,34.04,,0.581003235,0.01706825,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
25,19.324,,VV  ,0.025,2500844,19.272,19.341,45,High,TIC: 0214201413.D,34.04,,0.047115876,0.001384133,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
26,19.496,,VV  ,0.022,3419866,19.466,19.562,45,High,TIC: 0214201413.D,34.04,,0.064430242,0.00189278,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
27,19.716,,VV  ,0.041,3571719,19.675,19.761,45,High,TIC: 0214201413.D,34.04,,0.067291151,0.001976826,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
28,19.801,,VV  ,0.03,2241319,19.761,19.821,45,High,TIC: 0214201413.D,34.04,,0.042226428,0.001240494,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
29,20.063,,VV  ,0.017,1110666,20.043,20.087,45,High,TIC: 0214201413.D,34.04,,0.020924937,0.000614716,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
30,20.359,,VV  ,0.02,1578717,20.333,20.378,45,High,TIC: 0214201413.D,34.04,,0.029743013,0.000873767,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
31,20.469,,VV  ,0.02,2309448,20.449,20.498,45,High,TIC: 0214201413.D,34.04,,0.043509978,0.001278201,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
32,20.52,,VV  ,0.016,1106501,20.498,20.53,45,High,TIC: 0214201413.D,34.04,,0.020846468,0.000612411,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
33,20.547,,VV  ,0.036,5141165,20.53,20.625,45,High,TIC: 0214201413.D,34.04,,0.096859498,0.002845461,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
34,20.652,,VV  ,0.02,3073177,20.625,20.67,45,High,TIC: 0214201413.D,34.04,,0.057898624,0.0017009,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
35,20.689,,VV  ,0.021,3631939,20.67,20.714,45,High,TIC: 0214201413.D,34.04,,0.068425695,0.002010156,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
36,20.736,,VV  ,0.017,11024888,20.714,20.781,45,High,TIC: 0214201413.D,34.04,,0.207708781,0.006101903,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
37,20.834,,VV  ,0.016,23666226,20.805,20.888,45,High,TIC: 0214201413.D,34.04,,0.445871465,0.013098457,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
38,21.275,,VB  ,0.018,1670157,21.251,21.326,45,High,TIC: 0214201413.D,34.04,,0.031465741,0.000924375,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
39,21.722,,PV  ,0.025,2963165,21.652,21.744,45,High,TIC: 0214201413.D,34.04,,0.055825999,0.001640012,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
40,21.85,,VV  ,0.016,6634586,21.825,21.898,45,High,TIC: 0214201413.D,34.04,,0.124995535,0.003672019,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
41,23.214,,BV  ,0.019,1175772,23.123,23.252,45,High,TIC: 0214201413.D,34.04,,0.022151533,0.00065075,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
42,25.087,,BBA ,0.021,21794839,25.02,25.17,45,High,TIC: 0214201413.D,34.04,,0.410614552,0.012062707,12000,21.5,78.95,101.39,,,StatelineRoad1,7/21/12
1,17.728,,VB  ,0.026,57473161,17.674,17.855,76,Low,TIC: 0214201404.D,27.72,Tetralin,1,0.036075036,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
2,18.809,,BV  ,0.019,1272528,18.747,18.853,76,Low,TIC: 0214201404.D,27.72,,0.022141257,0.000798747,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
3,18.902,,VV  ,0.022,2419981,18.853,18.954,76,Low,TIC: 0214201404.D,27.72,,0.04210628,0.001518986,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
4,18.996,,VB  ,0.021,3120976,18.954,19.08,76,Low,TIC: 0214201404.D,27.72,,0.05430319,0.00195899,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
5,19.185,,BB  ,0.019,3865530,19.1,19.257,76,Low,TIC: 0214201404.D,27.72,,0.067258002,0.002426335,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
1,13.962,,BV  ,0.039,2714379,13.866,14.037,78,Low,TIC: 0214201407.D,38.69,,0.057110262,0.001476099,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
2,14.118,,PV  ,0.042,9451290,14.037,14.228,78,Low,TIC: 0214201407.D,38.69,,0.198854192,0.005139679,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
3,14.288,,VV  ,0.039,3694368,14.228,14.381,78,Low,TIC: 0214201407.D,38.69,,0.077729132,0.002009024,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
4,14.931,,BV  ,0.041,3236306,14.872,14.988,78,Low,TIC: 0214201407.D,38.69,,0.068091553,0.001759926,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
5,15.262,,BV  ,0.043,2913538,15.181,15.353,78,Low,TIC: 0214201407.D,38.69,,0.061300547,0.001584403,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
6,17.727,,PV  ,0.026,47528744,17.679,17.775,78,Low,TIC: 0214201407.D,38.69,Tetralin,1,0.025846472,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
7,18.782,,BV  ,0.017,1227563,18.752,18.795,78,Low,TIC: 0214201407.D,38.69,,0.025827802,0.000667558,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
8,18.807,,VB  ,0.02,1186383,18.795,18.852,78,Low,TIC: 0214201407.D,38.69,,0.024961379,0.000645164,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
9,18.903,,BV  ,0.022,2168965,18.871,18.929,78,Low,TIC: 0214201407.D,38.69,,0.045634806,0.001179499,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
10,18.996,,VV  ,0.023,3330193,18.929,19.032,78,Low,TIC: 0214201407.D,38.69,,0.070066926,0.001810983,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
11,19.185,,PV  ,0.018,3024355,19.145,19.21,78,Low,TIC: 0214201407.D,38.69,,0.063632125,0.001644666,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
12,20.737,,VV  ,0.026,2421531,20.713,20.811,78,Low,TIC: 0214201407.D,38.69,,0.050948769,0.001316846,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
1,8.026,,BV  ,0.039,3182413,7.96,8.132,77,Low,TIC: 0214201408.D,16.43,,0.073877441,0.004496497,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
2,17.726,,BB  ,0.025,43076925,17.603,17.806,77,Low,TIC: 0214201408.D,16.43,Tetralin,1,0.060864273,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
3,18.997,,VB  ,0.023,1667083,18.951,19.076,77,Low,TIC: 0214201408.D,16.43,,0.038700139,0.002355456,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
4,19.186,,BB  ,0.02,1960525,19.109,19.252,77,Low,TIC: 0214201408.D,16.43,,0.045512185,0.002770066,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
5,22.542,,BV  ,0.016,3385471,22.513,22.592,77,Low,TIC: 0214201408.D,16.43,,0.078591288,0.004783402,30240,16,79.24,103.795,59.91,,DesertWillow,7/27/12
1,17.727,,BB  ,0.025,53927675,17.636,17.808,73,Control,TIC: 0218201412.D,31.95,Tetralin,1,0.031298905,52416,14,79.24,103.795,59.91,,DesertWillow,7/27/12
2,18.995,,VB  ,0.022,1561697,18.947,19.063,73,Control,TIC: 0218201412.D,31.95,,0.028959101,0.000906388,52416,14,79.24,103.795,59.91,,DesertWillow,7/27/12
3,19.184,,BB  ,0.019,1848202,19.076,19.243,73,Control,TIC: 0218201412.D,31.95,,0.034271865,0.001072672,52416,14,79.24,103.795,59.91,,DesertWillow,7/27/12
1,17.726,,BB  ,0.024,29978225,17.67,17.813,74,Control,TIC: 0218201414.D,29.92,Tetralin,1,0.03342246,52416,14,79.24,103.795,59.91,,DesertWillow,7/27/12
1,6.2,,rVB,0.143,90725,6.122,6.265,22,Control,TIC: 020404.D,71.4,,0.030853628,0.000432124,11466,14,80.18,103.44,,,FoothillsRoad1,7/24/12
2,7.92,,rBV,0.097,113533,7.855,7.953,22,Control,TIC: 020404.D,71.4,,0.03861014,0.000540758,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
3,11.12,,rBV,0.12,123332,11.048,11.168,22,Control,TIC: 020404.D,71.4,,0.04194257,0.000587431,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
4,12.03,,rBV,0.109,160301,11.975,12.084,22,Control,TIC: 020404.D,71.4,,0.054514934,0.000763514,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
5,12.23,,rVB,0.132,88966,12.17,12.301,22,Control,TIC: 020404.D,71.4,,0.03025543,0.000423746,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
6,13.59,c,rBV,0.132,135121,13.526,13.657,22,Control,TIC: 020404.D,71.4,,0.045951756,0.000643582,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
7,17.35,j,rBV,0.126,2940497,17.291,17.417,22,Control,TIC: 020404.D,71.4,Tetralin,1,0.014005602,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
8,17.75,,rVB,0.12,506832,17.709,17.829,22,Control,TIC: 020404.D,71.4,,0.172362699,0.002414043,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
9,21.02,bb,rBV,0.052,441171,20.987,21.039,22,Control,TIC: 020404.D,71.4,,0.150032801,0.0021013,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
1,14.1,,rBV,0.183,21631197,13.972,14.155,21,Low,TIC: 122004.D,92,,3.198797597,0.034769539,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
2,14.4,,rBV,0.229,24749863,14.258,14.487,21,Low,TIC: 122004.D,92,,3.659982491,0.039782418,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
3,15.25,,rVB,0.143,1372624,15.185,15.328,21,Low,TIC: 122004.D,92,,0.202982126,0.002206327,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
4,15.6,,rVB,0.195,869379,15.529,15.723,21,Low,TIC: 122004.D,92,,0.128562809,0.001397422,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
5,17.35,,rBV,0.126,6762290,17.297,17.423,21,Low,TIC: 122004.D,92,Tetralin,1,0.010869565,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
6,18.52,,rBV,0.12,1271571,18.481,18.601,21,Low,TIC: 122004.D,92,,0.188038519,0.002043897,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
7,18.66,,rVV,0.086,1630018,18.601,18.687,21,Low,TIC: 122004.D,92,,0.241045267,0.002620057,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
8,18.72,,rVB,0.137,2467341,18.687,18.825,21,Low,TIC: 122004.D,92,,0.364867671,0.003965953,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
9,18.95,,rBV,0.103,3374050,18.893,18.996,21,Low,TIC: 122004.D,92,,0.498950799,0.005423378,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
8,18.95,,rBV,0.097,2846383,18.893,18.99,22,Control,TIC: 122005.D,71.4,,0.449975994,0.006302185,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
1,13.48,,rBV,0.132,704164,13.412,13.543,24,Control,TIC: 0625201302.D,76.23,,0.25981275,0.003408274,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
2,13.58,,rVB,0.12,527664,13.543,13.663,24,Control,TIC: 0625201302.D,76.23,,0.194690207,0.002553984,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
3,14.09,,rBV,0.183,15677393,13.961,14.144,24,Control,TIC: 0625201302.D,76.23,,5.784428886,0.075881266,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
4,14.38,,rVB,0.206,17069734,14.27,14.476,24,Control,TIC: 0625201302.D,76.23,,6.298155722,0.082620435,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
5,15.24,,rBV,0.154,606857,15.174,15.328,24,Control,TIC: 0625201302.D,76.23,,0.223909751,0.002937292,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
6,17.34,,rBV,0.08,2710275,17.297,17.377,24,Control,TIC: 0625201302.D,76.23,Tetralin,1,0.013118195,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
7,18.66,,rBV,0.086,564268,18.607,18.693,24,Control,TIC: 0625201302.D,76.23,,0.208195847,0.002731154,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
8,18.72,,rVB,0.057,1102100,18.693,18.75,24,Control,TIC: 0625201302.D,76.23,,0.406637703,0.005334353,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
9,18.95,,rBV,0.143,1601690,18.899,19.042,24,Control,TIC: 0625201302.D,76.23,,0.590969551,0.007752454,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
10,20.56,,rVB,0.109,975618,20.535,20.644,24,Control,TIC: 0625201302.D,76.23,,0.359970114,0.004722158,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
11,23.2,,rBV,0.137,620641,23.15,23.288,24,Control,TIC: 0625201302.D,76.23,,0.228995582,0.003004009,11466,14,80.18,103.44,,,FoothillsRoad1,7/16/12
1,14.09,,rBV,0.177,19151458,13.966,14.144,19,Low,TIC: 0625201305.D,29.4,,6.239528165,0.212228849,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
2,14.38,,rBV,0.263,20321619,14.241,14.504,19,Low,TIC: 0625201305.D,29.4,,6.620765589,0.225196108,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
3,15.24,,rBV,0.183,740091,15.168,15.351,19,Low,TIC: 0625201305.D,29.4,,0.241120997,0.008201394,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
4,17.34,,rBV,0.08,3069376,17.297,17.377,19,Low,TIC: 0625201305.D,29.4,Tetralin,1,0.034013605,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
5,18.66,,rVV,0.074,791720,18.618,18.693,19,Low,TIC: 0625201305.D,29.4,,0.257941679,0.008773527,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
6,18.72,,rVB,0.132,1546198,18.693,18.824,19,Low,TIC: 0625201305.D,29.4,,0.503749948,0.017134352,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
7,18.95,,rBV,0.143,2049101,18.899,19.042,19,Low,TIC: 0625201305.D,29.4,,0.667595303,0.022707323,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
8,22.3,,rVB,0.092,1039542,22.269,22.361,19,Low,TIC: 0625201305.D,29.4,,0.338681869,0.011519791,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
1,14.1,,rBV,0.183,22784947,13.967,14.15,20,Low,TIC: 0625201306.D,86.58,,7.012040981,0.080989154,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
2,14.4,,rBV,0.246,24310594,14.253,14.499,20,Low,TIC: 0625201306.D,86.58,,7.481557074,0.086412071,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
3,15.25,,rBV,0.143,919043,15.18,15.323,20,Low,TIC: 0625201306.D,86.58,,0.282834416,0.003266741,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
4,17.35,,rBV,0.08,3249403,17.297,17.377,20,Low,TIC: 0625201306.D,86.58,Tetralin,1,0.011550012,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
5,18.66,,rVV,0.063,913689,18.63,18.693,20,Low,TIC: 0625201306.D,86.58,,0.281186729,0.00324771,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
6,18.72,,rVB,0.183,1830034,18.693,18.876,20,Low,TIC: 0625201306.D,86.58,,0.563190838,0.006504861,23814,12.5,80.18,103.44,,,FoothillsRoad1,7/16/12
